,gene
590,DDX11L16
591,DDX11L16.1
592,DDX5
593,DEFA1
594,DEFA3
595,DEFA4
596,DENND2D
597,DENND3
598,DENND5B
599,DEPTOR
600,DERL3
601,DGAT2
602,DGKA
603,DGKG
604,DHRS11
605,DIPK1B
606,DLC1
607,DLGAP5
608,DMAC2
609,DMTN
610,DNAH10
611,DNAJB11
612,DNAJC12
613,DNAJC6
614,DNASE1L3
615,DNM3
616,DNMT1
617,DNMT3B
618,DNTT
619,DOC2B
620,DOCK1
621,DOCK5
622,DOK3
623,DPH5-DT
624,DPM1
625,DPP3
626,DPP4
627,DPPA4
628,DPY19L2
629,DPYSL2
630,DRD4
631,DSE
632,DSG2
633,DST
634,DTHD1
635,DTL
636,DUSP1
637,DUSP16
638,DUSP2
639,DUSP3
640,DUSP5
641,DUSP6
642,DUT
643,DYNC2I1
644,DYNC2I2
645,DYNLT5
646,DYTN
647,DZIP1L
648,DZIP3
649,E2F1
650,E2F2
651,E2F5
652,EAF2
653,EBF1
654,EBLN2
655,EBPL
656,EDEM1
657,EEF1A1
658,EEF1B2
659,EEF1G
660,EEF2K
661,EEIG1
662,EFHD2
663,EFNB1
664,EGF
665,EGFL7
666,EHD2
667,EIF2AK3
668,EIF3L
669,EIF3M
670,EIF4A1
671,EIF4EBP1
672,ELANE
673,ELK3
674,ELL2
675,ELOVL7
676,ELP1
677,EMB
678,EMID1
679,EMILIN2
680,EML4
681,EML6
682,EMP1
683,EMP3
684,ENDOD1
685,ENHO
686,ENKUR
687,ENO1
688,ENPP3
689,ENSG00000225885
690,ENSG00000225889
691,ENSG00000229425
692,ENSG00000230773
693,ENSG00000232628
694,ENSG00000233968
695,ENSG00000236304
696,ENSG00000240963
697,ENSG00000248991
698,ENSG00000250696
699,ENSG00000251600
700,ENSG00000254006
701,ENSG00000255240
702,ENSG00000257764
703,ENSG00000258657
704,ENSG00000261222
705,ENSG00000261253
706,ENSG00000261327
707,ENSG00000262370
708,ENSG00000267174
709,ENSG00000267279
710,ENSG00000268027
711,ENSG00000269970
712,ENSG00000270055
713,ENSG00000271857
714,ENSG00000273486
715,ENSG00000274253
716,ENSG00000274767
717,ENSG00000276241
718,ENSG00000276345
719,ENSG00000280441
720,ENSG00000283458
721,ENSG00000283633
722,ENSG00000285040
723,ENSG00000285354
724,ENSG00000285535
725,ENSG00000285906
726,ENSG00000286076
727,ENSG00000286550
